epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,1235.51,0.54711,0.42422,0.94966,0.79109,0.67564,0.72249,0.57378,0.96423,0.80085,1.16144,0.000487729,0.000487729,0.000487729
172,1242.68,0.54818,0.41151,0.93896,0.8375,0.66831,0.77321,0.60941,0.97428,0.77974,1.1787,0.000484063,0.000484063,0.000484063
173,1249.87,0.53858,0.40942,0.94597,0.8499,0.63522,0.74428,0.58734,0.98337,0.81134,1.17792,0.000480396,0.000480396,0.000480396
174,1256.98,0.53529,0.40046,0.94043,0.83813,0.68902,0.7491,0.60246,0.95212,0.84109,1.14492,0.00047673,0.00047673,0.00047673
175,1264.13,0.54754,0.40534,0.94105,0.83788,0.68896,0.74467,0.5931,0.96804,0.88651,1.14603,0.000473064,0.000473064,0.000473064
176,1271.3,0.53114,0.39372,0.93615,0.81152,0.69635,0.7586,0.60192,0.97636,0.82639,1.16173,0.000469397,0.000469397,0.000469397
177,1278.42,0.5327,0.39934,0.9328,0.87241,0.6903,0.7857,0.63361,0.99158,0.84292,1.17518,0.000465731,0.000465731,0.000465731
178,1285.69,0.53011,0.39712,0.93805,0.88689,0.6697,0.77704,0.61827,1.00605,0.89176,1.19425,0.000462065,0.000462065,0.000462065
179,1292.85,0.53332,0.41245,0.94448,0.77174,0.6017,0.71621,0.55974,0.99617,0.93838,1.19425,0.000458399,0.000458399,0.000458399
180,1299.98,0.52104,0.39633,0.94475,0.77837,0.73409,0.77129,0.62029,0.98063,0.85698,1.17335,0.000454732,0.000454732,0.000454732
